leiloeiro,titulo,descricao,cidade,estado,tipo_imovel,area_total,valor_minimo,valor_avaliacao,desconto_percentual,data_primeiro_leilao,data_segundo_leilao,data_encerramento,url_original,imagem_principal,numero_processo,vara,comarca,comitente,criado_em,praca_tipo
Dênis de Oliveira Fernandes,"Lote A.T. 160 m² - Boa Vista, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,160.0,40000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-160-m-boa-vista-arcoverde-pe-118278,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860495-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 158,8 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,158.8,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-158-8-m-sao-cristovao-arcoverde-pe-118279,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860500-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 155,4 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,155.4,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-155-4-m-sao-cristovao-arcoverde-pe-118281,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860509-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 158,8 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,158.8,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-158-8-m-sao-cristovao-arcoverde-pe-118285,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860527-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 150,8 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,150.8,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-150-8-m-sao-cristovao-arcoverde-pe-118286,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860532-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 160 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,160.0,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-160-m-sao-cristovao-arcoverde-pe-118287,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860536-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 158,8 m² - São Cristovão, Arcoverde/PE",,Arcoverde,PE,LOTE RESIDENCIAL,158.8,35000.0,,,,,2026-06-01,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-158-8-m-sao-cristovao-arcoverde-pe-118288,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-arcoverde-860541-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Apto - Campo Grande, Rio de Janeiro/RJ",,Rio de Janeiro,RJ,APARTAMENTO MISTO,,75600.0,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/apartamento-misto/apto-campo-grande-rio-de-janeiro-rj-118378,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/apartamento-misto-rio-de-janeiro-080383-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,Lote A.T. 1.000 m² - Carmópolis de Minas/MG,,Carmópolis de Minas,MG,LOTE RESIDENCIAL,1000.0,95590.24,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-1-000-m-carmopolis-de-minas-mg-118388,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-carmopolis-de-minas-860593-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Lote A.T. 8.541 m² - Alvorada, Lavras/MG",,Lavras,MG,LOTE RESIDENCIAL,8541.0,465700.0,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/lote-residencial/lote-a-t-8-541-m-alvorada-lavras-mg-118390,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/lote-residencial-lavras-860609-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
Dênis de Oliveira Fernandes,"Prédio A.T. 450 m² - Vl. N. Srª. de Lourdes, Pouso Alegre/MG",,Pouso Alegre,MG,PREDIO MISTO,450.0,750000.0,,,,,2026-06-09,https://mercado.bomvalor.com.br/leiloeirodenis/imoveis/predio-misto/predio-a-t-450-m-vl-n-sr-de-lourdes-pouso-alegre-mg-118391,https://d3r4ngrkezrhn6.cloudfront.net/public/resale/fotos/imoveis/327x244/predio-misto-pouso-alegre-860616-1.jpg,,,,,2026-06-01T20:26:02,Praça Única
