dominio,online,http_status,url_final,tempo_ms,bloqueia_bot,motivo_bloqueio,tem_sitemap,sitemaps,tem_jsonld,tipos_jsonld,tem_opengraph,plataforma,favicon_hash,cluster,servidor,titulo,ssl_ok,erro
www.leiloesjudiciais.com.br,SIM,200,https://www.leiloesjudiciais.com.br/,2056,SIM,captcha,SIM,https://www.leiloesjudiciais.com.br/sitemap.xml,SIM,"ContactPoint, Organization",SIM,"Nuxt, Superbid",25dd3f98790506d054893d56de236945,Nuxt,nginx,"Leilão de Imóveis, Terrenos, Veículos e mais - Leilões Judiciais",NÃO,
www.lancetotal.com.br,SIM,200,https://www.lancetotal.com.br/,221,não,,não,,não,,não,,a5c54947d86a0710b59f2329770294c7,favicon:a5c54947d8,cloudflare,LANCE TOTAL - O melhor negócio em leilões,NÃO,
www.lottileiloes.com.br,SIM,200,https://www.lottileiloes.com.br/,1287,não,,SIM,https://www.lottileiloes.com.br/sitemap.xml,não,,SIM,,e564613ba159296ae72554128087c145,favicon:e564613ba1,cloudflare,"Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.mauromarcello.lel.br,SIM,200,https://www.mauromarcello.lel.br/,211,não,,SIM,/sitemap/cms | /sitemap/leiloes | /sitemap/lotes,não,,SIM,,4fc21bcac5a287efab2d874c729ddd2e,favicon:4fc21bcac5,cloudflare,Carregando...,NÃO,
www.mariafixerleiloes.com.br,SIM,200,https://www.mariafixerleiloes.com.br/,682,não,,não,,não,,SIM,,38316331d6a3957d5be7053248554eb8,asset:s3-sa-east-1.amazonaws.com,nginx,Maria Fixer Leilões,NÃO,
www.marquesleiloes.com.br,SIM,200,https://www.marquesleiloes.com.br/,729,não,,não,,não,,não,,,—,nginx,Adyel Marques - Leiloeiro Oficial,NÃO,
www.mcleilao.com.br,SIM,200,https://www.mcleilao.com.br/,335,não,,não,,não,,não,,b9aa7c338693424aae99599bec875b5f,favicon:b9aa7c3386,cloudflare,MC LeilÃ£o,NÃO,
www.milanileiloes.com.br,SIM,200,https://www.milanileiloes.com.br/,374,SIM,captcha,SIM,https://www.milanileiloes.com.br/sitemap.xml,não,,não,Superbid,3c0fbbfd048453017cfaaea3a2fd2471,Superbid,cloudflare,Milani Leilões,NÃO,
www.mgl.com.br,SIM,403,https://www.mgl.com.br/,319,SIM,HTTP 403,não,,não,,não,,,—,cloudflare,Just a moment...,NÃO,
www.medeirosleiloes.com.br,SIM,200,https://www.medeirosleiloes.com.br/,860,não,,SIM,https://www.medeirosleiloes.com.br/sitemap.xml,não,,SIM,,0f3df826abc240cc9c94f14724601669,asset:cdn.onesignal.com,cloudflare,Medeiros Leilões - Leiloeiro Público Oficial Luiz Egidio Cruz Medeiros (JUCEPAR - 13/249-L),NÃO,
www.marcaleiloes.com.br,SIM,200,https://www.marcaleiloes.com.br/,1238,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Marca Leilões Judiciais e Extrajudiciais,NÃO,
www.marcoantonioleiloeiro.com.br,SIM,200,https://www.marcoantonioleiloeiro.com.br/,1130,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Marco Antônio Leiloeiro,NÃO,
www.mrleiloes.com.br,SIM,200,https://www.mrleiloes.com.br/,224,não,,SIM,https://www.mrleiloes.com.br/sitemap.xml,não,,não,,0958315e7d5a124570b8c02c204bc0c5,favicon:0958315e7d,cloudflare,MR Leilões,NÃO,
www.mirandacarvalholeiloes.com.br,SIM,200,https://www.mirandacarvalholeiloes.com.br/,1262,não,,SIM,https://www.mirandacarvalholeiloes.com.br/sitemap.xml,não,,SIM,,33e99e49fe0e9d8a9542ca0b0f5540ab,asset:grupolance.com.br,Apache/2.4.67 (Debian),Leilões Judiciais e Extrajudicias Online no Rio de Janeiro | Miranda Carvalho Leilões,NÃO,
www.maisleilao.com.br,SIM,200,https://www.maisleilao.com.br/,1193,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Mais Leilão,NÃO,
www.montenegroleiloes.com.br,SIM,200,https://montenegroleiloes.com.br/,414,não,,SIM,/sitemap.xml.gz,SIM,WebPage,SIM,,f4facfeaed834544d622544acfbb7722,asset:assets.montenegroleiloes.paganini.tech,cloudflare,Home - Montenegro Leilões,NÃO,
www.megaleiloes.com.br,SIM,200,https://www.megaleiloes.com.br/,1627,não,,SIM,https://www.megaleiloes.com.br/sitemap/sitemap_index.xml,não,,SIM,Othis (dev),ea7d60fa1323693921d57cef46277af3,Othis (dev),cloudflare,Leilões Judiciais e Extrajudiciais Online | Mega Leilões,NÃO,
