leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242246/terreno-no-lt-06-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 06 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242247/terreno-no-lt-07-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 07 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242248/terreno-no-lt-08-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 08 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242249/terreno-no-lt-09-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 09 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242250/terreno-no-lt-10-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 10 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242251/terreno-no-lt-02-qd-a-com-area-de-364-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 02 QD A, com área de 364,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242252/terreno-no-lt-08-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 08 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242253/terreno-no-lt-10-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 10 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242254/terreno-no-lt-14-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 14 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242255/terreno-com-area-de-375-00m2-com-edificacao-de-aprox-154-00m2-no-balneario-esplanada-em-jaguaruna-sc,"Terreno com área de 375,00m², com Edificação de aprox. 154,00m², no Balneário Esplanada, em Jaguaruna/SC",Urussanga,SC,257462.13,504827.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11455/lote/242346/imovel-com-area-de-560-00m2-com-edificacao-de-aprox-140-00m2-e-galpao-de-aprox-600-00m2-em-tubarao-sc,"Imóvel com área de 560,00m², com Edificação de aprox. 140,00m² e Galpão de aprox. 600,00m², em Tubarão/SC",Tubarão,SC,637500.0,1250000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11407/lote/242278/apartamento-no-124-torre-02-no-cond-maxhaus-praia-brava-no-municipio-de-itajai-sc,"Apartamento nº 124, Torre 02, no Cond. Maxhaus Praia Brava, no Município de Itajaí/SC",Itajaí,SC,520849.94,1021274.4,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11414/lote/242288/02-terrenos-no-lt-34-e-35-com-areas-de-192-86m2-cada-no-cond-residencial-quinta-das-palmeiras-em-florianopolis-sc,"02 Terrenos no LT 34 e 35, com áreas de 192,86m² cada, no Cond. Residencial QUinta das Palmeiras, em Florianópolis/SC",Florianópolis,SC,445135.24,741892.08,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11349/lote/242172/imovel-com-area-de-366-80m2-com-edificacao-de-alto-padrao-em-jaragua-do-sul-sc,"Imóvel com área de 366,80m², com Edificação de alto padrão, em Jaraguá do Sul/SC",Florianópolis,SC,1230201.24,1640268.32,75.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11347/lote/242170/terreno-com-area-de-21-389-00m2-situado-em-armacao-da-piedade-praia-do-tingua-em-governador-celso-ramos-sc-3,"Terreno com área de 21.389,00m², situado em Armação da Piedade (Praia do Tinguá), em Governador Celso Ramos/SC",Florianópolis,SC,10651922.92,17753204.88,60.0,False
