leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242239/37-trinta-e-sete-barricas-plasticas-de-200-litros,37 (trinta e sete) Barricas plásticas de 200 litros,Criciúma,SC,5661.0,11100.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242240/maquina-dosadora-eletrica,Máquina dosadora elétrica,Criciúma,SC,13770.0,27000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11437/lote/242322/terreno-com-area-de-13-654-46m2-gleba-do-nucleo-da-colonia-guatupe-em-sao-jose-do-pinhais-pr,"Terreno no Lote nº 04, com área de 13.654,46m², Gleba do Núcleo da Colônia Guatupê, em São José do Pinhais/PR",Florianópolis,SC,2765088.79,5421742.74,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11437/lote/242323/terreno-no-lote-no-05-com-area-de-13-654-46m2-gleba-do-nucleo-da-colonia-guatupe-no-municipio-de-sao-jose-do-pinhais-pr,"Terreno no Lote nº 05, com área de 13.654,46m², Gleba do Núcleo da Colônia Guatupê, em São José do Pinhais/PR",Florianópolis,SC,3394565.48,6656010.75,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11438/lote/242324/imovel-com-area-de-383-63m2-com-edificacao-no-municipio-de-braco-do-norte-sc,"Imóvel com área de 383,63m², com Edificação, no Município de Braço do Norte/SC",Braço do Norte,SC,154904.47,303734.26,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11438/lote/242325/terreno-rural-com-area-de-99-302-78m2-bairro-boa-vista-no-municipio-de-braco-do-norte-sc,"Terreno rural com área de 99.302,78m², bairro Boa Vista, no Município de Braço do Norte/SC",Braço do Norte,SC,95656.88,187562.52,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11345/lote/242164/chapa-de-granito-branco-siena-2-80-x-1-90-5-32m2,"Chapa de granito branco Siena, 2,80 x 1,90, 5,32m²",Florianópolis,SC,2906.49,5699.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11435/lote/242320/automovel-imp-vw-van-modelo-2001-placa-mbx9689-2,"Automóvel Imp/VW Van, modelo 2001, placa MBX9689",Tubarão,SC,11805.6,14757.0,80.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11325/lote/242141/apartamento-no-23-bloco-10-com-vaga-de-garagem-no-residencial-milano-em-gaspar-sc,"Apartamento nº 23, bloco 10, com vaga de garagem, no Residencial Milano, em Gaspar/SC",Gaspar,SC,62438.52,122428.49,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11451/lote/242342/terreno-com-area-de-385-44m2-bairro-guiomar-no-municipio-de-antonio-carlos-sc,"Terreno com área de 385,44m², bairro Guiomar, no Município de Antônio Carlos/SC",Florianópolis,SC,130212.48,255318.6,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242339/imovel-com-area-de-255-00m2-com-edificacao-no-lot-praia-do-arroio-corrente-no-municipio-de-jaguaruna-sc,"Imóvel com área de 255,00m², com Edificação, no Lot. Praia do Arroio Corrente, no Município de Jaguaruna/SC",Tubarão,SC,167727.48,328877.42,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242340/terreno-com-area-de-1-230-00m2-com-galpao-de-aprox-207-90m2-e-imovel-de-aprox-442-00m2-em-tubarao-sc,"Terreno com área de 1.230,00m², com Galpão de aprox. 207,90m² e Imóvel de aprox. 442,00m², em Tubarão/SC",Tubarão,SC,1073776.93,2105444.98,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11450/lote/242341/terreno-com-area-de-456-00m2-no-lot-vila-paraiso-no-municipio-de-tubarao-sc,"Terreno com área de 456,00m², no Lot. Vila Paraíso, no Município de Tubarão/SC",Tubarão,SC,322250.55,631863.84,51.0,False
