leiloeiro,url,titulo,cidade,estado,preco,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11462/lote/242353/apartamento-n0-302-bloco-11-no-cond-parque-flores-do-oriente-em-palhoca-sc,"Apartamento n° 302, bloco 11, no Cond. Parque Flores do Oriente, em Palhoça/SC",Palhoça,SC,109258.17,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11463/lote/242354/imovel-industrial-lotes-b8-06-b8-07-b8-08-b8-09-e-b8-10-com-area-de-12-250-00m2-em-joacaba-sc-2,"Imóvel Industrial, Lotes B8-06, B8-07, B8-08, B8-09 e B8-10, com área de 12.250,00m², em Joaçaba/SC",Joaçaba,SC,2268932.87,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11471/lote/242362/apartamento-no-301-no-condominio-residencial-bela-vista-no-municipio-de-araucaria-pr,"Apartamento nº 301, no Condomínio Residencial Bela Vista, no Município de Araucária/PR",Florianópolis,SC,153000.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11615/lote/243047/sala-comercial-no-1201-e-7-vagas-de-garagem-no-edificio-comercial-prime-tower-em-florianopolis-sc,"Sala comercial nº 1201 e 7 vagas de garagem, no Edifício Comercial Prime Tower, em Florianópolis/SC",Extrajudicial,,2971868.5,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11590/lote/243000/terreno-com-area-de-8-000-00m2-com-edificacao-industrial-bairro-industrial-norte-em-rio-negrinho-sc,"Terreno com área de 8.000,00m², com Edificação Industrial, bairro Industrial Norte, em Rio Negrinho/SC",São Bento do Sul,SC,1500000.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11590/lote/243008/terreno-com-area-de-18-242-00m2-com-edificacao-no-municipio-de-rio-negrinho-sc,"Terreno com área de 18.242,00m², com edificação, no Município de Rio Negrinho/SC",São Bento do Sul,SC,240000.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11454/lote/242345/direitos-sobre-imovel-com-area-de-360-00m2-com-edificacao-bairro-sao-miguel-em-fraiburgo-sc,"Direitos sobre Imóvel com área de 360,00m², com Edificação, bairro São Miguel, em Fraiburgo/SC",Fraiburgo,SC,130492.17,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11467/lote/242358/apartamento-no-803-torre-02-no-condominio-residencial-linea-bairro-barreiros-em-sao-jose-sc,"Apartamento nº 803, Torre 02, no Condomínio Residencial Línea, bairro Barreiros, em São José/SC",São José,SC,376196.57,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11468/lote/242359/apartamento-no-303-bloco-09-no-condominio-parque-flores-do-oriente-em-palhoca-sc,"Apartamento nº 303, bloco 09, no Condomínio Parque Flores do Oriente, em Palhoça/SC",Palhoça,SC,144869.46,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11469/lote/242360/apartamento-no-106-bloco-b-no-condominio-gustavo-kirchner-em-palhoca-sc,"Apartamento nº 106, bloco B, no Condomínio Gustavo Kirchner, em Palhoça/SC",Palhoça,SC,476942.83,False
